2.65	-0.881581	7.02249
2.66	-0.886257	7.07559
2.67	-0.890845	7.12889
2.68	-0.895343	7.18239
2.69	-0.899752	7.23609
2.7	-0.904071	7.28999
2.71	-0.9083	7.34409
2.72	-0.912437	7.39839
2.73	-0.916484	7.45289
2.74	-0.920439	7.50759
2.75	-0.924302	7.56249
2.76	-0.928072	7.61759
2.77	-0.931749	7.67289
2.78	-0.935334	7.72839
2.79	-0.938825	7.78409
2.8	-0.942222	7.83999
2.81	-0.945524	7.89609
2.82	-0.948732	7.95239
2.83	-0.951846	8.00889
2.84	-0.954864	8.06559
2.85	-0.957787	8.12249
2.86	-0.960613	8.17959
2.87	-0.963344	8.23689
2.88	-0.965979	8.29439
2.89	-0.968517	8.35209
2.9	-0.970958	8.40999
2.91	-0.973302	8.46809
2.92	-0.975548	8.52639
2.93	-0.977697	8.58489
2.94	-0.979748	8.64359
2.95	-0.981702	8.70249
2.96	-0.983557	8.76159
2.97	-0.985314	8.82089
2.98	-0.986972	8.88039
2.99	-0.988531	8.94009
3	-0.989992	8.99999
3.01	-0.991354	9.06009
3.02	-0.992616	9.12039
3.03	-0.99378	9.18089
3.04	-0.994844	9.24159
3.05	-0.995808	9.30249
3.06	-0.996673	9.36359
3.07	-0.997438	9.42488
3.08	-0.998104	9.48638
3.09	-0.998669	9.54808
3.1	-0.999135	9.60998
3.11	-0.999501	9.67208
3.12	-0.999767	9.73438
3.13	-0.999933	9.79688
3.14	-0.999999	9.85958
3.15	-0.999965	9.92248
3.16	-0.999831	9.98558
3.17	-0.999597	10.0489
3.18	-0.999263	10.1124
3.19	-0.998829	10.1761
3.2	-0.998295	10.24
3.21	-0.997661	10.3041
3.22	-0.996928	10.3684
3.23	-0.996095	10.4329
3.24	-0.995162	10.4976
3.25	-0.99413	10.5625
3.26	-0.992998	10.6276
3.27	-0.991767	10.6929
3.28	-0.990437	10.7584
3.29	-0.989008	10.8241
3.3	-0.98748	10.89
3.31	-0.985853	10.9561
3.32	-0.984128	11.0224
3.33	-0.982304	11.0889
3.34	-0.980382	11.1556
3.35	-0.978362	11.2225
3.36	-0.976244	11.2896
3.37	-0.974029	11.3569
3.38	-0.971716	11.4244
3.39	-0.969306	11.4921
3.4	-0.966799	11.56
3.41	-0.964195	11.6281
3.42	-0.961495	11.6964
3.43	-0.958699	11.7649
3.44	-0.955807	11.8336
